route_id,service_id,trip_id,trip_headsign,shape_id,direction_id
20080021,20636,15126077,Kamares-TradeZone,20080021,0
20090011,20636,15126078,VERGINA,20090011,0
20090012,20636,15126079,LARNACA STATION,20090012,1
20090011,20636,15126080,VERGINA,20090011,0
20090012,20636,15126081,LARNACA STATION,20090012,1
20090011,20636,15126082,VERGINA,20090011,0
20090012,20636,15126083,LARNACA STATION,20090012,1
20260011,20636,15126084,KOFINOU ST.,20260011,0
20260012,20636,15126085,MARI,20260012,1
20260011,20636,15126086,KOFINOU ST.,20260011,0
20260012,20636,15126087,MARI,20260012,1
20280011,20636,15126088,KOFINOU STATION,20280011,0
20280012,20636,15126089,ODOU,20280012,1
20280011,20636,15126090,KOFINOU STATION,20280011,0
20280012,20636,15126091,ODOU,20280012,1
20280011,20636,15126092,KOFINOU STATION,20280011,0
20280012,20636,15126093,ODOU,20280012,1
20280011,20636,15126094,KOFINOU STATION,20280011,0
20280012,20636,15126095,ODOU,20280012,1
20340011,20636,15126096,KOFINOU ST.,20340011,0
20340012,20636,15126097,LARNACA ST.,20340012,1
20340011,20636,15126098,KOFINOU ST.,20340011,0
20340012,20636,15126099,LARNACA ST.,20340012,1
20340011,20636,15126100,KOFINOU ST.,20340011,0
20340012,20636,15126101,LARNACA ST.,20340012,1
20340011,20636,15126102,KOFINOU ST.,20340011,0
20340012,20636,15126103,LARNACA ST.,20340012,1
20290011,20636,15126104,KOFINOU ST.,20290011,0
20290012,20636,15126105,AGIOI VAVATSINIAS,20290012,1
20290011,20636,15126106,KOFINOU ST.,20290011,0
20290012,20636,15126107,AGIOI VAVATSINIAS,20290012,1
20290011,20636,15126108,KOFINOU ST.,20290011,0
20290012,20636,15126109,AGIOI VAVATSINIAS,20290012,1
20290011,20636,15126110,KOFINOU ST.,20290011,0
20290012,20636,15126111,AGIOI VAVATSINIAS,20290012,1
20340011,20636,15126112,KOFINOU ST.,20340011,0
20060011,20636,15126113,TERSEFANOU,20060011,0
20060012,20636,15126114,LARNACA STATION,20060012,1
20300021,20636,15126115,Alampra Station,20300021,0
20300022,20636,15126116,Vavatsinia,20300022,1
20300021,20636,15126117,Alampra Station,20300021,0
20300022,20636,15126118,Vavatsinia,20300022,1
20300021,20636,15126119,Alampra Station,20300021,0
20300022,20636,15126120,Vavatsinia,20300022,1
20300021,20636,15126121,Alampra Station,20300021,0
20300022,20636,15126122,Vavatsinia,20300022,1
20070011,20636,15126123,KALO CHORIO,20070011,0
20070022,20636,15126124,Larnaca Station,20070022,1
20070011,20636,15126125,KALO CHORIO,20070011,0
20070012,20636,15126126,LARNACA STATION,20070012,1
20270011,20636,15126127,KOFINOU STATION,20270011,0
20270012,20636,15126128,MARONI,20270012,1
20270011,20636,15126129,KOFINOU STATION,20270011,0
20270012,20636,15126130,MARONI,20270012,1
20000011,20636,15126131,Pervolia,20000011,0
20000012,20636,15126132,Larnaca Station,20000012,1
20000011,20636,15126133,Pervolia,20000011,0
20000012,20636,15126134,Larnaca Station,20000012,1
20030011,20636,15126135,DROMOLAXIA,20030011,0
20030012,20636,15126136,Larnaca Station,20030012,1
20030011,20636,15126137,DROMOLAXIA,20030011,0
20030012,20636,15126138,Larnaca Station,20030012,1
20030011,20636,15126139,DROMOLAXIA,20030011,0
20030012,20636,15126140,Larnaca Station,20030012,1
20080021,20636,15126141,Kamares-TradeZone,20080021,0
20080021,20636,15126142,Kamares-TradeZone,20080021,0
20080021,20636,15126143,Kamares-TradeZone,20080021,0
20080021,20636,15126144,Kamares-TradeZone,20080021,0
20120041,20636,15126145,Pyla,20120041,0
20120022,20636,15126146,LARNACA STATION,20120022,1
20120041,20636,15126147,Pyla,20120041,0
20120042,20636,15126148,Larnaca,20120042,1
20120041,20636,15126149,Pyla,20120041,0
20120042,20636,15126150,Larnaca,20120042,1
20120041,20636,15126151,Pyla,20120041,0
20120042,20636,15126152,Larnaca,20120042,1
20120041,20636,15126153,Pyla,20120041,0
20120042,20636,15126154,Larnaca,20120042,1
20120041,20636,15126155,Pyla,20120041,0
20120042,20636,15126156,Larnaca,20120042,1
20160011,20636,15126157,ARADIPPOU,20160011,0
20160012,20636,15126158,LARNACA STATION,20160012,1
20160011,20636,15126159,ARADIPPOU,20160011,0
20160012,20636,15126160,LARNACA STATION,20160012,1
20170011,20636,15126161,LARNACA STATION,20170011,0
20170011,20636,15126162,LARNACA STATION,20170011,0
20170011,20636,15126163,LARNACA STATION,20170011,0
20190011,20636,15126164,FAROS,20190011,0
20190012,20636,15126165,Larnaca Station,20190012,1
20320011,20636,15126166,KOFINOU STATION,20320011,0
20320012,20636,15126167,PENTASCHINOS,20320012,1
20320011,20636,15126168,KOFINOU STATION,20320011,0
20320012,20636,15126169,PENTASCHINOS,20320012,1
20320011,20636,15126170,KOFINOU STATION,20320011,0
20320012,20636,15126171,PENTASCHINOS,20320012,1
20320011,20636,15126172,KOFINOU STATION,20320011,0
20320012,20636,15126173,PENTASCHINOS,20320012,1
20320011,20636,15126174,KOFINOU STATION,20320011,0
20330012,20636,15126175,LARNACA STATION,20330012,1
20330011,20636,15126176,ZYGI,20330011,0
20330012,20636,15126177,LARNACA STATION,20330012,1
20330011,20636,15126178,ZYGI,20330011,0
20330012,20636,15126179,LARNACA STATION,20330012,1
20330011,20636,15126180,ZYGI,20330011,0
20040011,20636,15126181,Troulloi,20040011,0
20040012,20636,15126182,Larnaca Station,20040012,1
20040011,20636,15126183,Troulloi,20040011,0
20040012,20636,15126184,Larnaca Station,20040012,1
20110011,20636,15126185,MALL via Drosia,20110011,0
20110012,20636,15126186,LARNACA STATION,20110012,1
20110011,20636,15126187,MALL via Drosia,20110011,0
20110012,20636,15126188,LARNACA STATION,20110012,1
20150021,20636,15126189,AIRPORT,20150021,0
20150012,20636,15126190,DEKELEIA,20150012,1
20150011,20636,15126191,AIRPORT,20150011,0
20150012,20636,15126192,DEKELEIA,20150012,1
20150011,20636,15126193,AIRPORT,20150011,0
20150012,20636,15126194,DEKELEIA,20150012,1
20150011,20636,15126195,AIRPORT,20150011,0
20370022,20636,15126196,LARNACA STATION,20370022,1
20370011,20636,15126197,DELIKIPOS,20370011,0
20370012,20636,15126198,LARNACA ST.,20370012,1
20370011,20636,15126199,DELIKIPOS,20370011,0
20370012,20636,15126200,LARNACA ST.,20370012,1
20370021,20636,15126201,DELIKIPOS,20370021,0
20010021,20636,15126202,Aradippou,20010021,0
20010022,20636,15126203,Larnaca Station,20010022,1
20010021,20636,15126204,Aradippou,20010021,0
20010022,20636,15126205,Larnaca Station,20010022,1
20010011,20636,15126206,Aradippou,20010011,0
20010012,20636,15126207,Larnaca Station,20010012,1
20010011,20636,15126208,Aradippou,20010011,0
20010012,20636,15126209,Larnaca Station,20010012,1
20360022,20636,15126210,Larnaca Station,20360022,1
20360011,20636,15126211,Alampra Station,20360011,0
20360012,20636,15126212,Larnaca Station,20360012,1
20360021,20636,15126213,Alampra Station,20360021,0
20360012,20636,15126214,Larnaca Station,20360012,1
20360011,20636,15126215,Alampra Station,20360011,0
20380032,20636,15126216,LARNACA STATION,20380032,1
20380011,20636,15126217,ALAMINOS,20380011,0
20380012,20636,15126218,LARNACA STATION,20380012,1
20380011,20636,15126219,ALAMINOS,20380011,0
20380012,20636,15126220,LARNACA STATION,20380012,1
20380031,20636,15126221,ALAMINOS,20380031,0
20050011,20636,15126222,OROKLINI,20050011,0
20050012,20636,15126223,Larnaca Station,20050012,1
20050011,20636,15126224,OROKLINI,20050011,0
20050012,20636,15126225,Larnaca Station,20050012,1
20100021,20636,15126226,Livadia,20100021,0
20100021,20636,15126227,Livadia,20100021,0
20100021,20636,15126228,Livadia,20100021,0
20100021,20636,15126229,Livadia,20100021,0
