service_id,date,exception_type
20820,20250607,1
20820,20250608,1
20820,20250614,1
20820,20250615,1
20820,20250621,1
20820,20250622,1
20820,20250830,1
20820,20250831,1
20820,20250809,1
20820,20250810,1
20820,20250816,1
20820,20250817,1
20820,20250823,1
20820,20250824,1
20820,20250719,1
20820,20250720,1
20820,20250726,1
20820,20250727,1
20820,20250802,1
20820,20250803,1
20820,20250628,1
20820,20250629,1
20820,20250705,1
20820,20250706,1
20820,20250712,1
20820,20250713,1
20828,20250604,1
20828,20250605,1
20828,20250606,1
20828,20250609,1
20828,20250610,1
20828,20250611,1
20828,20250827,1
20828,20250828,1
20828,20250829,1
20828,20250819,1
20828,20250820,1
20828,20250821,1
20828,20250822,1
20828,20250825,1
20828,20250826,1
20828,20250811,1
20828,20250812,1
20828,20250813,1
20828,20250814,1
20828,20250815,1
20828,20250818,1
20828,20250801,1
20828,20250804,1
20828,20250805,1
20828,20250806,1
20828,20250807,1
20828,20250808,1
20828,20250724,1
20828,20250725,1
20828,20250728,1
20828,20250729,1
20828,20250730,1
20828,20250731,1
20828,20250716,1
20828,20250717,1
20828,20250718,1
20828,20250721,1
20828,20250722,1
20828,20250723,1
20828,20250708,1
20828,20250709,1
20828,20250710,1
20828,20250711,1
20828,20250714,1
20828,20250715,1
20828,20250630,1
20828,20250701,1
20828,20250702,1
20828,20250703,1
20828,20250704,1
20828,20250707,1
20828,20250620,1
20828,20250623,1
20828,20250624,1
20828,20250625,1
20828,20250626,1
20828,20250627,1
20828,20250612,1
20828,20250613,1
20828,20250616,1
20828,20250617,1
20828,20250618,1
20828,20250619,1
20947,20250603,1
