trip_id,arrival_time,departure_time,stop_id,stop_sequence,pickup_type,drop_off_type
15277260,05:25:00,05:25:00,3906,0,0,0
15277260,05:45:00,05:45:00,4738,1,0,0
15277260,05:47:00,05:47:00,4865,2,0,0
15277260,05:49:00,05:49:00,8018,3,0,0
15277260,05:54:00,05:54:00,5097,4,0,0
15277260,06:02:00,06:02:00,5213,5,0,0
15277260,06:49:00,06:49:00,7973,6,0,0
15277260,06:54:00,06:54:00,339,7,0,0
15277260,06:56:00,06:56:00,337,8,0,0
15277260,06:57:00,06:57:00,333,9,0,0
15277260,06:59:00,06:59:00,326,10,0,0
15277260,07:02:00,07:02:00,324,11,0,0
15277260,07:05:00,07:05:00,1,12,0,0
15277261,07:15:00,07:15:00,1,0,0,0
15277261,07:15:00,07:15:00,323,1,0,0
15277261,07:16:00,07:16:00,325,2,0,0
15277261,07:17:00,07:17:00,332,3,0,0
15277261,07:18:00,07:18:00,338,4,0,0
15277261,07:19:00,07:19:00,340,5,0,0
15277261,07:21:00,07:21:00,7973,6,0,0
15277261,08:38:00,08:38:00,5213,7,0,0
15277261,08:44:00,08:44:00,5098,8,0,0
15277261,08:51:00,08:51:00,8019,9,0,0
15277261,08:52:00,08:52:00,4864,10,0,0
15277261,08:54:00,08:54:00,4739,11,0,0
15277261,09:00:00,09:00:00,3906,12,0,0
15277262,11:20:00,11:20:00,3906,0,0,0
15277262,11:40:00,11:40:00,4738,1,0,0
15277262,11:42:00,11:42:00,4865,2,0,0
15277262,11:44:00,11:44:00,8018,3,0,0
15277262,11:49:00,11:49:00,5097,4,0,0
15277262,11:57:00,11:57:00,5213,5,0,0
15277262,12:44:00,12:44:00,7973,6,0,0
15277262,12:49:00,12:49:00,339,7,0,0
15277262,12:51:00,12:51:00,337,8,0,0
15277262,12:52:00,12:52:00,333,9,0,0
15277262,12:54:00,12:54:00,326,10,0,0
15277262,12:57:00,12:57:00,324,11,0,0
15277262,13:00:00,13:00:00,1,12,0,0
15277263,13:15:00,13:15:00,1,0,0,0
15277263,13:15:00,13:15:00,323,1,0,0
15277263,13:16:00,13:16:00,325,2,0,0
15277263,13:17:00,13:17:00,332,3,0,0
15277263,13:18:00,13:18:00,338,4,0,0
15277263,13:19:00,13:19:00,340,5,0,0
15277263,13:21:00,13:21:00,7973,6,0,0
15277263,14:38:00,14:38:00,5213,7,0,0
15277263,14:44:00,14:44:00,5098,8,0,0
